,date,open,high,low,close,uptrend
0,2020-08-19T02:20:00.000000000Z,1.1927999999999999,1.1933999999999998,1.1927999999999999,1.1933999999999998,True
1,2020-08-19T03:25:00.000000000Z,1.1933999999999998,1.1939999999999997,1.1933999999999998,1.1939999999999997,True
2,2020-08-19T06:00:00.000000000Z,1.1939999999999997,1.1945999999999997,1.1939999999999997,1.1945999999999997,True
3,2020-08-19T07:10:00.000000000Z,1.1939999999999997,1.1939999999999997,1.1933999999999998,1.1933999999999998,False
4,2020-08-19T07:15:00.000000000Z,1.1933999999999998,1.1933999999999998,1.1927999999999999,1.1927999999999999,False
5,2020-08-19T08:10:00.000000000Z,1.1933999999999998,1.1939999999999997,1.1933999999999998,1.1939999999999997,True
6,2020-08-19T09:15:00.000000000Z,1.1939999999999997,1.1945999999999997,1.1939999999999997,1.1945999999999997,True
7,2020-08-19T11:10:00.000000000Z,1.1939999999999997,1.1939999999999997,1.1933999999999998,1.1933999999999998,False
8,2020-08-19T13:35:00.000000000Z,1.1939999999999997,1.1945999999999997,1.1939999999999997,1.1945999999999997,True
9,2020-08-19T14:20:00.000000000Z,1.1939999999999997,1.1939999999999997,1.1933999999999998,1.1933999999999998,False
12,2020-08-19T14:35:00.000000000Z,1.1922,1.1922,1.1916,1.1916,False
13,2020-08-19T14:40:00.000000000Z,1.1916,1.1916,1.191,1.191,False
14,2020-08-19T14:55:00.000000000Z,1.191,1.191,1.1904000000000001,1.1904000000000001,False
15,2020-08-19T15:00:00.000000000Z,1.1904000000000001,1.1904000000000001,1.1898000000000002,1.1898000000000002,False
16,2020-08-19T16:05:00.000000000Z,1.1898000000000002,1.1898000000000002,1.1892000000000003,1.1892000000000003,False
17,2020-08-19T16:10:00.000000000Z,1.1892000000000003,1.1892000000000003,1.1886000000000003,1.1886000000000003,False
19,2020-08-19T16:15:00.000000000Z,1.1880000000000004,1.1880000000000004,1.1874000000000005,1.1874000000000005,False
23,2020-08-19T18:05:00.000000000Z,1.1856000000000007,1.1856000000000007,1.1850000000000007,1.1850000000000007,False
25,2020-08-19T18:10:00.000000000Z,1.1844000000000008,1.1844000000000008,1.1838000000000009,1.1838000000000009,False
26,2020-08-19T18:20:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
27,2020-08-19T18:55:00.000000000Z,1.1850000000000007,1.1856000000000007,1.1850000000000007,1.1856000000000007,True
28,2020-08-19T19:45:00.000000000Z,1.1850000000000007,1.1850000000000007,1.1844000000000008,1.1844000000000008,False
29,2020-08-19T19:50:00.000000000Z,1.1844000000000008,1.1844000000000008,1.1838000000000009,1.1838000000000009,False
30,2020-08-19T22:40:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
31,2020-08-20T01:15:00.000000000Z,1.1844000000000008,1.1844000000000008,1.1838000000000009,1.1838000000000009,False
32,2020-08-20T03:20:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
33,2020-08-20T05:25:00.000000000Z,1.1844000000000008,1.1844000000000008,1.1838000000000009,1.1838000000000009,False
34,2020-08-20T07:05:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
35,2020-08-20T07:15:00.000000000Z,1.1850000000000007,1.1856000000000007,1.1850000000000007,1.1856000000000007,True
36,2020-08-20T07:20:00.000000000Z,1.1856000000000007,1.1862000000000006,1.1856000000000007,1.1862000000000006,True
37,2020-08-20T08:00:00.000000000Z,1.1856000000000007,1.1856000000000007,1.1850000000000007,1.1850000000000007,False
38,2020-08-20T08:10:00.000000000Z,1.1850000000000007,1.1850000000000007,1.1844000000000008,1.1844000000000008,False
40,2020-08-20T08:20:00.000000000Z,1.1838000000000009,1.1838000000000009,1.183200000000001,1.183200000000001,False
42,2020-08-20T08:25:00.000000000Z,1.182600000000001,1.182600000000001,1.182000000000001,1.182000000000001,False
43,2020-08-20T08:55:00.000000000Z,1.182600000000001,1.183200000000001,1.182600000000001,1.183200000000001,True
44,2020-08-20T09:05:00.000000000Z,1.183200000000001,1.1838000000000009,1.183200000000001,1.1838000000000009,True
45,2020-08-20T09:30:00.000000000Z,1.183200000000001,1.183200000000001,1.182600000000001,1.182600000000001,False
46,2020-08-20T09:40:00.000000000Z,1.183200000000001,1.1838000000000009,1.183200000000001,1.1838000000000009,True
47,2020-08-20T10:50:00.000000000Z,1.1838000000000009,1.1844000000000008,1.1838000000000009,1.1844000000000008,True
48,2020-08-20T11:00:00.000000000Z,1.1838000000000009,1.1838000000000009,1.183200000000001,1.183200000000001,False
49,2020-08-20T11:35:00.000000000Z,1.1838000000000009,1.1844000000000008,1.1838000000000009,1.1844000000000008,True
50,2020-08-20T12:10:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
52,2020-08-20T12:55:00.000000000Z,1.1838000000000009,1.1838000000000009,1.183200000000001,1.183200000000001,False
53,2020-08-20T13:00:00.000000000Z,1.183200000000001,1.183200000000001,1.182600000000001,1.182600000000001,False
54,2020-08-20T13:05:00.000000000Z,1.182600000000001,1.182600000000001,1.182000000000001,1.182000000000001,False
56,2020-08-20T13:10:00.000000000Z,1.1814000000000011,1.1814000000000011,1.1808000000000012,1.1808000000000012,False
57,2020-08-20T13:45:00.000000000Z,1.1814000000000011,1.182000000000001,1.1814000000000011,1.182000000000001,True
58,2020-08-20T13:50:00.000000000Z,1.182000000000001,1.182600000000001,1.182000000000001,1.182600000000001,True
59,2020-08-20T14:05:00.000000000Z,1.182600000000001,1.183200000000001,1.182600000000001,1.183200000000001,True
60,2020-08-20T14:30:00.000000000Z,1.183200000000001,1.1838000000000009,1.183200000000001,1.1838000000000009,True
61,2020-08-20T14:50:00.000000000Z,1.1838000000000009,1.1844000000000008,1.1838000000000009,1.1844000000000008,True
62,2020-08-20T15:30:00.000000000Z,1.1844000000000008,1.1850000000000007,1.1844000000000008,1.1850000000000007,True
63,2020-08-20T15:35:00.000000000Z,1.1850000000000007,1.1856000000000007,1.1850000000000007,1.1856000000000007,True
